player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
0,referee,240,0.627,9211.1,38.38,1391.52,0,0.0,0,0,0.0,42,0.175,791.9,298.8
1,green,254,0.663,1243.7,4.9,1235.48,101,0.398,0,0,0.0,253,0.996,246.8,0.0
2,green,361,0.943,1081.7,3.0,803.47,0,0.0,0,0,0.0,0,0.0,416.8,0.0
3,green,249,0.65,3800.5,15.26,2856.59,0,0.0,0,0,0.0,6,0.024,743.8,0.0
4,green,299,0.781,2738.5,9.16,1962.57,4,0.013,0,0,0.0,10,0.033,1311.8,0.0
5,green,312,0.815,3455.0,11.07,3419.95,0,0.0,0,0,0.0,10,0.032,552.5,0.0
6,green,262,0.684,616.6,2.35,248.39,25,0.095,0,0,0.0,0,0.0,645.2,0.0
7,green,330,0.862,3367.2,10.2,1797.96,113,0.342,0,0,0.0,0,0.0,812.4,0.0
8,green,333,0.869,2863.2,8.6,1862.76,16,0.048,0,0,0.0,0,0.0,1221.8,0.0
9,green,330,0.862,162.9,0.49,117.55,0,0.0,0,0,0.0,0,0.0,821.9,0.0
10,green,336,0.877,3428.2,10.2,2362.59,4,0.012,0,0,0.0,6,0.018,964.4,0.0
