possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
32,green,31,40,10,0.17,494467.0,,,0,0,,0,,
39,green,47,47,1,0.02,,,,0,0,,0,,
41,green,49,56,8,0.13,,,,0,0,,0,,
44,green,59,65,7,0.12,451898.7,,,0,0,,0,,
72,green,94,110,17,0.28,620195.9,,,0,0,,0,,
76,green,114,115,2,0.03,548521.2,,,0,0,,0,,
82,green,121,159,39,0.65,466053.1,,,0,0,,0,,
169,green,251,270,20,0.33,171088.9,,,0,0,,0,,
182,green,283,294,12,0.2,575806.5,,,0,0,,0,,
201,green,313,314,2,0.03,,,,0,0,,0,,
205,green,318,323,6,0.1,332653.7,,,0,0,,0,,
207,green,325,337,13,0.22,426581.0,,,0,0,,0,,
259,green,389,413,25,0.42,407076.5,,,0,0,,0,,
261,green,415,463,49,0.82,311314.1,,,0,0,,0,,
263,green,465,509,45,0.75,907369.5,,,0,0,,0,,
